timestamp,num_topics,doc_count,num_unassigned,npmi,cv,td
2025-07-19 00:07:17.687993+00:00,6,622,177,-0.12115714547397495,0.36890637502541973,0.9
2025-07-19 00:17:23.985227+00:00,11,622,124,-0.12684404407369662,0.38432877140954774,0.9636363636363636
2025-07-19 00:32:48.243021+00:00,5,622,179,-0.15289543875357128,0.3322515825930942,0.96
2025-07-19 00:47:41.041620+00:00,10,612,132,-0.11468221014317977,0.4171690377384863,0.95
2025-07-19 01:06:13.995293+00:00,6,612,195,-0.1792419224656483,0.3805447532197183,0.95
2025-07-19 01:18:01.538860+00:00,5,612,188,-0.1324934285327604,0.44084939780202853,0.94
2025-07-19 01:32:25.133021+00:00,9,612,175,-0.16272464370984244,0.36434539800721816,0.9444444444444444
2025-07-19 01:47:10.739013+00:00,8,609,145,-0.06432735772401585,0.45220986649019645,0.9125
2025-07-19 02:05:32.573874+00:00,7,609,205,-0.10248496943971866,0.4181913108467078,0.9714285714285714
2025-07-19 02:17:38.914495+00:00,5,609,151,-0.18949375820068956,0.38814911109360717,0.94
2025-07-19 02:33:06.369105+00:00,10,605,141,-0.1192790648157985,0.3929941207681963,0.95
2025-07-19 02:47:27.188685+00:00,10,605,173,-0.11669224773495117,0.3815366833031722,0.95
2025-07-19 03:33:13.269996+00:00,5,605,192,-0.08882878624290205,0.44330520272820745,0.94
2025-07-19 05:35:52.983082+00:00,5,605,193,-0.18837167212848063,0.3597055957212919,0.94
2025-07-19 09:37:21.450897+00:00,7,605,197,-0.14528571347785446,0.4078090395927204,0.9285714285714286
2025-07-19 10:06:37.355513+00:00,8,605,204,-0.08036209293966834,0.43466030934490196,0.9875
2025-07-19 10:18:06.538201+00:00,8,605,149,-0.12523804864061686,0.4218641819828854,0.9625
2025-07-19 10:35:31.673526+00:00,7,605,158,-0.1295741678675695,0.3675650073994623,0.9571428571428572
2025-07-19 10:47:23.607437+00:00,11,605,215,-0.15734427632747888,0.3782479031950326,0.9727272727272728
2025-07-19 11:06:23.465935+00:00,7,605,177,-0.01395544441350048,0.4704641191204163,0.9857142857142858
