timestamp,num_topics,doc_count,num_unassigned,npmi,cv,td
2025-07-19 00:05:11.940122+00:00,19,622,138,-0.19911720995755092,0.36522496616753686,0.9631578947368421
2025-07-19 00:18:01.198821+00:00,2,622,13,-0.07737105202572074,0.3805131211442442,1.0
2025-07-19 00:34:32.783744+00:00,18,612,122,-0.24354566102510578,0.3718231578821102,0.9944444444444445
2025-07-19 00:48:02.504200+00:00,4,612,10,-0.15081279434629527,0.3680676414351762,1.0
2025-07-19 01:03:20.844703+00:00,4,612,20,-0.14020021316189596,0.344288662388904,1.0
2025-07-19 01:18:17.301399+00:00,3,612,9,-0.10502587631862433,0.36876314412480243,1.0
2025-07-19 01:33:32.149304+00:00,6,609,39,-0.15716241225099517,0.4403033906563783,1.0
2025-07-19 01:48:11.612882+00:00,16,609,120,-0.21589868108526816,0.37393935991374144,0.9875
2025-07-19 02:04:10.937277+00:00,2,609,12,-0.08631442301371504,0.35814320169541136,1.0
2025-07-19 02:18:34.337628+00:00,14,609,98,-0.21776713830818922,0.3756844065858317,0.9714285714285714
2025-07-19 02:32:45.004969+00:00,2,609,12,-0.08631442301371504,0.35814320169541136,1.0
2025-07-19 02:49:11.181341+00:00,6,605,40,-0.1579053838339501,0.4245361998874679,1.0
2025-07-19 03:33:48.924192+00:00,13,605,129,-0.19180590532046768,0.3731344884117776,0.9846153846153847
2025-07-19 05:37:05.874000+00:00,17,605,90,-0.19769118216549686,0.3833571591951917,0.9764705882352941
2025-07-19 09:35:16.628118+00:00,16,605,138,-0.21453148559098084,0.3824380139825931,0.9875
2025-07-19 10:06:44.102343+00:00,3,605,12,-0.10186786972945416,0.352703810339535,1.0
2025-07-19 10:17:18.030082+00:00,2,605,12,-0.08589871113305927,0.35815593350308894,1.0
2025-07-19 10:33:08.626264+00:00,7,605,63,-0.16475022850359583,0.4095677778590328,1.0
2025-07-19 10:47:28.208835+00:00,16,605,141,-0.1824485848807308,0.3742553299695588,0.9875
2025-07-19 11:05:43.593481+00:00,15,605,107,-0.20804997022829308,0.38389258020872585,0.9866666666666667
